Unnamed: 0,MF: BLCA,METH: BLCA,GE: BLCA,CNA: BLCA,hsa04010,hsa04012,hsa04110,hsa04115,hsa04370,hsa04520
STIM1,0.0,0.0246184417257107,0.103206791318875,0.0,0,0,0,0,0,0
TRPC1,0.0,0.045165584479437,0.1949096957875065,0.0,0,0,0,0,0,0
NOS1,0.0883978239847733,0.205472297806599,0.0,0.0,0,0,0,0,0,0
ATP2B4,0.0575442008314949,0.0302848215946827,0.1480027777647232,0.2727272727272727,0,0,0,0,0,0
ABCC9,0.0906228738703905,0.0,0.2548952178902124,0.0,0,0,0,0,0,0
KCNJ11,0.0,0.1157808443021764,0.155792160245806,0.0,0,0,0,0,0,0
HADHA,0.0303323661711271,0.0239199246860059,0.0517566760060057,0.0,0,0,0,0,0,0
HADHB,0.0303829227967835,0.0018664001378353,0.0517671092653281,0.0,0,0,0,0,0,0
GTF2E2,0.0,0.0131103619135608,0.0187848981354269,0.9545454545454546,0,0,0,0,0,0
GTF2E1,0.0303765740268974,0.0116005040894014,0.0167009458421019,0.0,0,0,0,0,0,0
GTF2A2,0.0,0.0114162920926006,0.0068746732308276,0.0,0,0,0,0,0,0
GTF2A1,0.0,0.0274152092821389,0.0211854865177033,0.0,0,0,0,0,0,0
VANGL2,0.0,0.2048457651910568,0.0220618642705837,0.0,0,0,0,0,0,0
SCRIB,0.0902748092298654,0.0090716669994818,0.0735732019353003,0.0,0,0,0,0,0,0
DVL2,0.0612719435238265,0.0275385701546204,0.0134957332728218,0.0,0,0,0,0,0,0
PARD6A,0.0306845860073543,0.1076314871266796,0.0018448189361242,0.409090909090909,0,0,0,0,0,0
GRB2,0.0,0.0207835865729755,0.0147271401547126,0.7348484848484849,1,1,0,0,0,0
GAB1,0.0,0.0031423498513184,0.1159579163665959,0.0,0,1,0,0,0,0
EGFR,0.0,0.070137946141455,0.0291481027226637,0.7196969696969696,1,1,0,0,0,0
EGF,0.0912064840861864,0.1652309635701083,0.1605827962096161,0.0,1,1,0,0,0,0
PIK3CA,0.6380612401920825,0.0188472168616956,0.0670953030332296,0.8257575757575757,0,1,0,0,1,0
PIK3R1,0.0,0.0076979278671004,0.150873861351513,0.0,0,1,0,0,1,0
SRC,0.0606878371418874,0.0521331195687713,0.0472170032877604,0.0,0,0,0,0,1,0
PXN,0.0,0.0047119887434226,0.0052743661684917,0.0,0,0,0,0,1,0
CLPS,0.0,0.1169403870812985,0.0,0.0,0,0,0,0,0,0
PNLIP,0.0,0.446922285978193,0.0,0.0,0,0,0,0,0,0
GNB1,0.0,0.0067158844308757,0.0010103287071924,0.0,0,0,0,0,0,0
GNGT1,0.0,0.0,0.025480365431022,0.0,0,0,0,0,0,0
CNGA1,0.0594343449364415,0.035877815620725,0.0623526673156979,0.0,0,0,0,0,0,0
CNGB1,0.06030891260742,0.0517928141420816,0.293425786745012,0.0,0,0,0,0,0,0
FNTB,0.0,0.008256172774181,0.0101798159962888,0.0,0,0,0,0,0,0
FNTA,0.0613009457745697,0.0172502227781384,0.0213474040131923,0.0,0,0,0,0,0,0
RAD50,0.0,0.0057453159118561,0.0404919189060483,0.0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0
KPNA2,0.0,0.0131651099012373,0.2096613381388052,0.7348484848484849,0,0,0,0,0,0
NBN,0.0305103597948434,0.0160973724321414,0.0192149956134387,0.0,0,0,0,0,0,0
KAT5,0.0,0.0084306881346697,0.0533097509038677,0.0,0,0,0,0,0,0
ATM,0.358788224757368,0.0144144283755756,0.082878960411136,0.6136363636363635,0,0,1,1,0,0
BAZ1B,0.0,0.0103039322709368,0.0129227592993095,0.0,0,0,0,0,0,0
SMARCA5,0.0,0.0004362229419041,0.0154109983311377,0.0,0,0,0,0,0,0
UBE2I,0.0,0.0002809815538363,0.0214092414959098,0.0,0,0,0,0,0,0
SUMO1,0.0,0.0045384039365173,0.0194573097780287,0.0,0,0,0,0,0,0
UBE2V2,0.0,0.0840626089030216,0.0001034666397665,0.0,0,0,0,0,0,0
UBE2N,0.0,0.0178523690800127,0.0175003805251368,0.0,0,0,0,0,0,0
BARD1,0.0295169045687027,0.0055544150268875,0.0160426182343379,0.0,0,0,0,0,0,0
BRCA1,0.1193231649115851,0.0079955253451713,0.147584438115877,0.0,0,0,0,0,0,0
SUMO2,0.0,0.0241747390819672,0.034123408128648,0.7348484848484849,0,0,0,0,0,0
MDC1,0.0613221079266648,0.0237081435762741,0.0171395772256947,0.0,0,0,0,0,0,0
HERC2,0.0594242218552048,0.0704698005696716,0.0134099146202494,0.606060606060606,0,0,0,0,0,0
ATRIP,0.0306442661840551,0.0070800667212919,0.0084525078546381,0.0,0,0,0,0,0,0
ATR,0.1221670173351685,0.0197800927821976,0.0534090793112483,0.0,0,0,1,1,0,0
TIMELESS,0.0918608308421806,0.0071815227474048,0.1655245095586,0.0,0,0,0,0,0,0
TIPIN,0.0,0.0859931138534623,0.0520205279979995,0.0,0,0,0,0,0,0
