Gene,MF: BRCA,METH: BRCA,GE: BRCA,CNA: BRCA,hsa03440,hsa04010,hsa04110,hsa04115,hsa04151,hsa04310,hsa04330
STIM1,0.0052824175344793,0.0058978294056397,0.0785828387716032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRPC1,0.0053016153922421,0.1353069998756751,0.1753960348635794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOS1,0.0157653472844461,0.232478894216121,0.3668422096105443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B4,0.0148663153008297,0.0215267477278873,0.1217474626347806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0311216531651546,0.0,0.2527224411396452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNJ11,0.0,0.1052060772149589,0.1465345103808336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADHA,0.0052954053670216,0.0035392316271457,0.0760960089071669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADHB,0.005302970421769,0.0057899916596332,0.0369349576407034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E2,0.0053042604927658,0.0076855813082549,0.0009082641658868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E1,0.0053126348416963,0.0138796036596633,0.0343742531407924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2A2,0.0052972918418374,0.0012318912439181,0.0137537434009033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2A1,0.010581796695204,0.0364668017426712,0.0333442789418461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VANGL2,0.0053103756090099,0.1895180360000948,0.0077629597397731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SCRIB,0.0,0.0021083317506694,0.087392260804893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVL2,0.0053124184370837,0.0154903499290966,0.0378800638719719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PARD6A,0.0,0.0173309657914966,0.0573715076395814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRB2,0.0,0.0031509602282871,0.0448464114907501,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
GAB1,0.0053063932820858,0.0035338454203089,0.0726238683092739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,0.015809011521215,0.2835501704381666,0.3670550633748645,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
EGF,0.0052951832792265,0.2544413069600372,0.2105321432457115,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
PIK3CA,1.0,0.0132367004136125,0.0961879440113562,0.4296577946768061,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIK3R1,0.0942952873567906,0.0004627589511888,0.2155827417648238,0.3548795944233207,0.0,0.0,0.0,0.0,1.0,0.0,0.0
