Gene,MF: CESC,METH: CESC,GE: CESC,CNA: CESC,hsa04064,hsa04110_genes,hsa04115_genes,hsa04150,hsa04151,hsa04210,hsa04310,hsa04330,hsa04510,hsa04520,hsa04530,hsa04612,hsa04620,hsa04630
STIM1,0.0,0.0050871153346698,0.0909950903217865,0.4493392070484582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC1,0.0274794352734712,0.066091721739218,0.3308755980003635,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOS1,0.0510205350417923,0.3581957395655684,0.3389483206000744,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP2B4,0.0557888565445841,0.0393521782957291,0.2679025765727844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,0.1089246337962791,0.0,0.5386892795853323,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ11,0.0827893002376431,0.0525646471232453,0.0388067471656083,0.4493392070484582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HADHA,0.0274187123054967,0.0002681120101149,0.0267384616791785,0.3480176211453745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HADHB,0.0277259182767851,0.0094972974991454,0.0077542274536335,0.3480176211453745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2E2,0.0,4.429417198925375e-05,0.0081637204321531,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2E1,0.0,0.0017840021720771,0.0553211944551282,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0093683690584811,0.0039825410063237,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0387835122708186,0.0238335343060741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VANGL2,0.0282024202605374,0.0747591416544833,0.1018887107995823,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SCRIB,0.02777339655069,0.0042926182859692,0.1265966930995267,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DVL2,0.0,0.0174858204634402,0.0724290674351346,0.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
PARD6A,0.0275269757516747,0.1926289690667957,0.0020517440313843,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GRB2,0.0,0.0007774260339501,0.009328054837232,0.3259911894273128,0,0,0,1,1,0,0,0,1,0,0,0,0,1
GAB1,0.0274043289213288,0.0111897755231089,0.1624331128233632,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EGFR,0.1076452306227077,0.0545525612056406,0.109416395956234,0.2290748898678414,0,0,0,0,1,0,0,0,1,1,0,0,0,1
EGF,0.053197180683563,0.1593033047567368,0.1430027565434769,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
PIK3CA,1.0,0.0094613569518729,0.0004889159792323,0.0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
PIK3R1,0.1377326718340088,0.0089671090343005,0.2224234842986451,0.0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
SRC,0.0550729092736518,0.0062307281886019,0.0010949941794213,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
PXN,0.0520845181818014,0.1002795064691322,0.0251815255336094,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
