gene,MF: COAD,METH: COAD,GE: COAD,CNA: COAD,hsa04010,hsa04012,hsa04110,hsa04115,hsa04150,hsa04151,hsa04210,hsa04310,hsa04350
STIM1,0.0107541678695651,0.045847123976971,0.0902879417290443,0.0,0,0,0,0,0,0,0,0,0
TRPC1,0.0,0.0473349084886362,0.0767786474965304,0.0,0,0,0,0,0,0,0,0,0
NOS1,0.0620349657364994,0.4783125348333557,0.1972291075999385,0.0,0,0,0,0,0,0,0,0,0
ATP2B4,0.0107416276219019,0.0147605897214958,0.0711884677222105,0.0,0,0,0,0,0,0,0,0,0
ABCC9,0.0214249015459076,0.0,0.0563364935424925,0.0,0,0,0,0,0,0,0,0,0
KCNJ11,0.0161065253320187,0.000946992842742,0.068497094178448,0.0,0,0,0,0,0,0,0,0,0
HADHA,0.0052309341960168,0.0023800462760812,0.0778802528728018,0.0,0,0,0,0,0,0,0,0,0
HADHB,0.0,0.002434734246063,0.0756095583644013,0.0,0,0,0,0,0,0,0,0,0
GTF2E2,0.0,0.0022696446828023,0.0463828551798751,0.0,0,0,0,0,0,0,0,0,0
GTF2E1,0.0054442256722686,0.005445448849593,0.0129473612253393,0.0,0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0033386224552038,0.0298094944306143,0.0,0,0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0001731887841074,0.0082584871260582,0.4631901840490798,0,0,0,0,0,0,0,0,0
VANGL2,0.0,0.1566823851345828,0.0180341845719987,0.0,0,0,0,0,0,0,0,1,0
SCRIB,0.0,0.0180722481709079,0.0510599250390418,0.0,0,0,0,0,0,0,0,0,0
DVL2,0.0,0.0102509553665909,0.003273883252286,0.0,0,0,0,0,1,0,0,1,0
PARD6A,0.0,0.1983512803656925,0.049750814150623,0.0,0,0,0,0,0,0,0,0,0
GRB2,0.0,0.0092364231069638,0.028320376704884,0.0,1,1,0,0,1,1,0,0,0
GAB1,0.0053987698095398,0.006977328504452,0.0975331358059552,0.0,0,1,0,0,0,0,0,0,0
EGFR,0.0053277183689318,0.1340598841273076,0.0638305448839219,0.0,1,1,0,0,0,1,0,0,0
EGF,0.0053958686586267,0.0431716013125668,0.1198578643332727,0.0,1,1,0,0,0,1,0,0,0
PIK3CA,0.3020696394653209,0.004662880209501,0.0167753146246597,0.0,0,1,0,0,1,1,1,0,0
PIK3R1,0.0265505249957225,0.0016433893440206,0.0407153405169841,0.0,0,1,0,0,1,1,1,0,0
SRC,0.0,0.0392212769814427,0.0098489616684841,0.0,0,0,0,0,0,0,0,0,0
PXN,0.0213625423858942,0.0511974391965925,0.0359200261426615,0.0,0,0,0,0,0,0,0,0,0
CLPS,0.005447865853277,0.094505802285253,0.0,0.0,0,0,0,0,0,0,0,0,0
PNLIP,0.0163121930256217,0.2692852584307391,0.0,0.3343558282208588,0,0,0,0,0,0,0,0,0
GNB1,0.0,0.0080813307292502,0.0229234120848211,0.0,0,0,0,0,0,1,0,0,0
GNGT1,0.0,0.0,0.0847701714036037,0.0,0,0,0,0,0,1,0,0,0
CNGA1,0.0,0.016350777816465,0.1696126710112406,0.0,0,0,0,0,0,0,0,0,0
CNGB1,0.0159737901327514,0.0959668371326609,0.0,0.0,0,0,0,0,0,0,0,0,0
FNTB,0.0054444611517507,0.0062224345778291,0.013336461972338,0.4631901840490798,0,0,0,0,0,0,0,0,0
