GENE,MF: ESCA,METH: ESCA,GE: ESCA,CNA: ESCA,hsa04010,hsa04115,hsa04310,hsa04340,hsa04350
STIM1,0.0,0.0238280092263684,0.0648892011733328,0.0,0,0,0,0,0
TRPC1,0.0538529164604944,0.0672794228908106,0.0461918359829447,0.0,0,0,0,0,0
NOS1,0.0,0.3683829444025641,0.2029968417703482,0.0,0,0,0,0,0
ATP2B4,0.0,0.0572203945239034,0.0111246998249046,0.0,0,0,0,0,0
ABCC9,0.0535804407486372,0.0,0.0716003794731381,0.0,0,0,0,0,0
KCNJ11,0.0,0.0121839067617853,0.2550824363593348,0.0,0,0,0,0,0
HADHA,0.0,0.0084370644895341,0.0285499826748258,0.0,0,0,0,0,0
HADHB,0.0,0.0124749863650854,0.0769141616709143,0.0,0,0,0,0,0
GTF2E2,0.0,0.0008089560464132,0.0300450272365828,0.5172413793103449,0,0,0,0,0
GTF2E1,0.0,0.0156584727992006,0.0571644083572305,0.0,0,0,0,0,0
GTF2A2,0.0,0.0147800318533578,0.0353449652153385,0.0,0,0,0,0,0
GTF2A1,0.0,0.0087078485485095,0.0005758752760928,0.0,0,0,0,0,0
VANGL2,0.054045174902889,0.1786777994825868,0.0330127582343261,0.6413793103448276,0,0,1,0,0
SCRIB,0.0,0.0552847774970664,0.0880091450057147,0.0,0,0,0,0,0
DVL2,0.0,0.0087794712439039,0.0516736098753049,0.0,0,0,1,0,0
PARD6A,0.0,0.2788019465006362,0.0327114388777328,0.0,0,0,0,0,0
GRB2,0.0,0.0034694462599911,0.0353182617369383,0.0,1,0,0,0,0
GAB1,0.0538274335855127,0.0136539391470878,0.0747256187105135,0.0,0,0,0,0,0
EGFR,0.0,0.179939654519778,0.0006992684740459,0.8620689655172414,1,0,0,0,0
EGF,0.0269648087248419,0.0190454211333523,0.1556693524601741,0.0,1,0,0,0,0
PIK3CA,0.1880417144440338,0.0213675975656928,0.0185289766842001,0.0,0,0,0,0,0
PIK3R1,0.0268315584469404,0.0084814231708027,0.0788514928408972,0.0,0,0,0,0,0
SRC,0.0,0.0281629915767595,0.013705099350608,0.0,0,0,0,0,0
PXN,0.02633406551751,0.0669895505046846,0.0007958087573909,0.0,0,0,0,0,0
CLPS,0.0,0.033828644089669,0.0,0.0,0,0,0,0,0
PNLIP,0.0,0.1839546952939593,0.0,0.0,0,0,0,0,0
GNB1,0.0,0.0054101309385739,0.0146415163965939,0.0,0,0,0,0,0
GNGT1,0.0270125909159504,0.0,0.20062164805179,0.7862068965517242,0,0,0,0,0
CNGA1,0.0,0.0206345993701469,0.0842362960993216,0.0,0,0,0,0,0
CNGB1,0.0267767532166717,0.11040651317372,0.2412799400145452,0.0,0,0,0,0,0
FNTB,0.0,0.0114481289476055,0.0195431163045332,0.0,0,0,0,0,0
FNTA,0.0,0.0112737411702337,0.0240965164069953,0.5172413793103449,0,0,0,0,0
RAD50,0.0,0.0184457723876022,0.0366594911983679,0.0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0
KPNA2,0.0,0.0009850964173772,0.1890077646997319,0.0,0,0,0,0,0
NBN,0.0540279298588198,0.0120195882765109,0.0576558019103784,0.0,0,0,0,0,0
KAT5,0.0,0.0235307521831824,0.0208438572373594,0.0,0,0,0,0,0
ATM,0.0268664924801845,0.0058094085988059,0.0402628959224402,0.0,0,0,0,0,0
BAZ1B,0.0,9.566307372543533e-05,0.0300428815719516,0.0,0,0,0,0,0
SMARCA5,0.027007306945445,0.0368646120503054,0.0066642655319992,0.0,0,0,0,0,0
UBE2I,0.0,0.005283818710447,0.0664294807209311,0.4482758620689656,0,0,0,0,0
SUMO1,0.0,0.0257771876145256,0.0500161404512174,0.0,0,0,0,0,0
UBE2V2,0.0,0.0623378659106474,0.0413427966494381,0.0,0,0,0,0,0
UBE2N,0.0,0.0179631392381737,0.0482812685187115,0.3586206896551724,0,0,0,0,0
BARD1,0.0266611398648658,0.0087153680329381,0.0544586131481429,0.0,0,0,0,0,0
BRCA1,0.0,6.627530504455878e-05,0.1678948590432044,0.0,0,0,0,0,0
SUMO2,0.0,0.0057340540748209,0.0500497597306779,0.0,0,0,0,0,0
MDC1,0.0808908263313207,4.724729620907269e-05,0.0351789411425536,0.0,0,0,0,0,0
HERC2,0.026594665117041,0.2346153810679088,0.0010001737967426,0.4344827586206897,0,0,0,0,0
ATRIP,0.0,0.0002273411664989,0.0277404985669342,0.0,0,0,0,0,0
ATR,0.0268552541666552,0.0058197078663645,0.0637105517587313,0.0,0,0,0,0,0
TIMELESS,0.0,0.0021210789043991,0.1776019539280739,0.0,0,0,0,0,0
TIPIN,0.0,0.1164246925794958,0.0606747315022546,0.0,0,0,0,0,0
PPP4R2,0.0,0.0219337043155522,0.0048869516825473,0.0,0,0,0,0,0
PPP4C,0.0,0.0057340309590357,0.0836975167255733,0.0,0,0,0,0,0
RAD51C,0.0,0.0502355210040429,0.0170000136649251,0.0,0,0,0,0,0
XRCC3,0.0,0.0172887797571703,0.0524092735558992,0.0,0,0,0,0,0
EME2,0.0,0.0126039266695166,0.0047949083111009,0.0,0,0,0,0,0
MUS81,0.0,0.0112410225100582,0.0035644572472836,0.0,0,0,0,0,0
EME1,0.0,0.0063016535364692,0.1327126321998878,0.0,0,0,0,0,0
BRCA2,0.0,0.005294638777042,0.2037938114186977,0.0,0,0,0,0,0
RAD51,0.0,0.0119126247632876,0.2576597810935365,0.0,0,0,0,0,0
ERCC4,0.0,0.0365065630707555,0.0158573847699677,0.0,0,0,0,0,0
ERCC1,0.0,0.0,0.0035501270573947,0.0,0,0,0,0,0
XRCC1,0.0,0.0043602914329244,0.0196610552591218,0.0,0,0,0,0,0
LIG3,0.0,0.02731769808464,0.0342155510631124,0.0,0,0,0,0,0
XRCC6,0.0268117567961271,0.0203144511172714,0.0457309969801889,0.0,0,0,0,0,0
XRCC5,0.0,0.0308467992002914,0.0379438077475898,0.0,0,0,0,0,0
XRCC4,0.0,0.0546153421345383,0.0865456071288238,0.0,0,0,0,0,0
LIG4,0.0,0.0119530822009335,0.0355791567966796,0.0,0,0,0,0,0
HEXB,0.0,0.0473524342821411,0.0094277131887747,0.0,0,0,0,0,0
HEXA,0.0,0.101232143747871,0.0094060211105406,0.0,0,0,0,0,0
EXT2,0.0270185832088745,0.022959037315107,0.0257345285504784,0.0,0,0,0,0,0
EXT1,0.0,0.0127117792467693,0.0939832683396059,0.0,0,0,0,0,0
SOS1,0.0266242188297276,0.0012208419034244,0.0288477461949553,0.0,1,0,0,0,0
CDK1,0.0,0.0151929115148297,0.2519136970179686,0.3172413793103448,0,0,0,0,0
CCNB1,0.0,0.0019049465060363,0.2329989389401,0.0,0,0,0,0,0
PCF11,0.0,0.0175123118086176,0.0200899408209262,0.0,0,0,0,0,0
CLP1,0.0,0.0774055559743341,0.0253699404238864,0.0,0,0,0,0,0
TEAD1,0.0,0.0062337869842114,0.0427208798860243,0.0,0,0,0,0,0
YAP1,0.0532984564470415,0.0379606624388862,0.028600552042281,0.0,0,0,0,0,0
TEAD2,0.0,0.0318044202036907,0.0390749235805823,0.0,0,0,0,0,0
TEAD3,0.0,0.0360696309009095,0.0301211010798694,0.0,0,0,0,0,0
TEAD4,0.0,0.0031040285012317,0.194036150024883,0.0,0,0,0,0,0
CDK8,0.0,0.0052317857019335,0.0090544579781761,0.0,0,0,0,0,0
CCNC,0.0,0.0170297179092559,0.0183114560466717,0.3793103448275863,0,0,0,0,0
SMAD7,0.0270780398732653,0.0160618505038272,0.0575504162965176,0.0,0,0,0,0,1
RNF111,0.0,0.0187446603321335,0.0194968618749177,0.0,0,0,0,0,0
PTEN,0.0540204173817225,0.0077636029584269,0.0105353545514427,0.4482758620689656,0,0,0,0,0
TP53,1.0,0.0081016030026633,0.0611421058249779,0.0,1,0,1,0,0
TSC1,0.0,0.0,0.0280665517718984,0.0,0,0,0,0,0
TSC2,0.0,0.0310676701469082,0.0527706325518678,0.0,0,0,0,0,0
SCO2,0.0,0.0027205166675216,0.0827495046694501,0.0,0,0,0,0,0
RRM2B,0.0,0.0003190169835314,0.0045966051708832,0.0,0,0,0,0,0
GLS2,0.0,0.0543019447598161,0.0444197184374766,0.0,0,0,0,0,0
IGFBP3,0.0,0.2550052952304475,0.0992190744494755,0.0,0,0,0,0,0
