Gene,MF: LIHC,METH: LIHC,GE: LIHC,CNA: LIHC,hsa04010,hsa04020,hsa04110,hsa04115,hsa04151,hsa04310,hsa04350,hsa04932,hsa04936,hsa05160,hsa05161
STIM1,0.0,0.024090949533707,0.0450891102817255,0.0,0,1,0,0,0,0,0,0,0,0,0
TRPC1,0.0247993678301932,0.1213897865577267,0.0245654605119849,0.0,0,0,0,0,0,0,0,0,0,0,0
NOS1,0.0488843212885456,0.0223830656536039,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
ATP2B4,0.0741382782100515,0.0948728705398155,0.054450048336099,0.0,0,1,0,0,0,0,0,0,0,0,0
ABCC9,0.0247575402470966,0.0,0.1607379161801441,0.0,0,0,0,0,0,0,0,0,0,0,0
KCNJ11,0.0,0.0421895676515583,0.1034159208948651,0.0,0,0,0,0,0,0,0,0,0,0,0
HADHA,0.0,0.0018744766282654,0.0251742667562851,0.0,0,0,0,0,0,0,0,0,0,0,0
HADHB,0.0499102119295506,0.0031107472582944,0.0472778313067298,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2E2,0.0,0.0107255542150943,0.0280552580399846,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2E1,0.0248672027523397,0.00303708318764,0.0816728513884279,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0166700070159406,0.0310927245405899,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0294612707897515,0.0121757516679456,0.0,0,0,0,0,0,0,0,0,0,0,0
VANGL2,0.0,0.1769456342757417,0.0854577565070002,0.0,0,0,0,0,0,1,0,0,0,0,0
SCRIB,0.0996789254477929,0.0061995508488196,0.1144207236507723,0.0,0,0,0,0,0,0,0,0,0,0,0
DVL2,0.0249897567745347,0.0457015443311259,0.1154955440235473,0.8339483394833949,0,0,0,0,0,1,0,0,0,0,0
PARD6A,0.0,0.0772762814593056,0.0155652702857586,0.0,0,0,0,0,0,0,0,0,0,0,0
GRB2,0.0,0.0081117663526525,0.0435907026582649,0.0,1,0,0,0,1,0,0,0,0,1,1
GAB1,0.0,0.0001726391651168,0.0095723840576053,0.0,0,0,0,0,0,0,0,0,0,0,0
EGFR,0.0491456039059059,0.0410810116490623,0.0491313703058638,0.0,1,1,0,0,1,0,0,0,0,1,0
EGF,0.0249480060514695,0.3982947180850217,0.0445883443076641,0.6383763837638378,1,1,0,0,1,0,0,0,0,1,0
PIK3CA,0.1236837895199069,0.0089750870709471,0.0078907405780914,0.0,0,0,0,0,1,0,0,1,0,1,1
PIK3R1,0.0,0.0010509583601076,0.0330379313227453,0.0,0,0,0,0,1,0,0,1,0,1,1
SRC,0.0498409263543728,0.047615872040939,0.1342682555670278,0.0,0,0,0,0,0,0,0,0,0,0,1
PXN,0.0,0.0190380245193796,0.0445012031824863,0.0,0,0,0,0,0,0,0,0,0,0,0
CLPS,0.0,0.180961109007242,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
PNLIP,0.0,0.6609743715930402,0.0,0.3874538745387454,0,0,0,0,0,0,0,0,0,0,0
GNB1,0.0249808968249205,0.0076940157679952,0.0320969210788508,0.5977859778597787,0,0,0,0,1,0,0,0,0,0,0
GNGT1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
CNGA1,0.0,0.0204454536751357,0.1742842483226932,0.0,0,0,0,0,0,0,0,0,0,0,0
CNGB1,0.0,0.2558727668654186,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
FNTB,0.0,0.0056912077877449,0.0541157293672978,0.0,0,0,0,0,0,0,0,0,0,0,0
FNTA,0.0500588922332021,0.0022192180215087,0.0133938127879542,0.0,0,0,0,0,0,0,0,0,0,0,0
RAD50,0.0249872333298431,0.0151365362221801,0.0467432513801516,0.0,0,0,0,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
KPNA2,0.0250282541339059,0.0047216173248556,0.1529699279096839,0.0,0,0,0,0,0,0,0,0,0,0,0
NBN,0.0,0.0111760627180303,0.0346936346609471,0.0,0,0,0,0,0,0,0,0,0,0,0
KAT5,0.0,0.0016519971571653,0.0329571040014252,0.0,0,0,0,0,0,0,0,0,0,0,0
ATM,0.0981765946488267,0.0098529973245132,0.0243257557506036,0.3431734317343173,0,0,1,1,0,0,0,0,0,0,0
BAZ1B,0.0,0.0086461375574243,0.0378795544379088,0.0,0,0,0,0,0,0,0,0,0,0,0
SMARCA5,0.0245325663794504,0.0194445554118447,0.0114692377895735,0.0,0,0,0,0,0,0,0,0,0,0,0
UBE2I,0.0,0.0002537813490776,0.0647175098970377,0.0,0,0,0,0,0,0,0,0,0,0,0
SUMO1,0.0249759158635635,0.01388282051048,0.0055791231391206,0.0,0,0,0,0,0,0,0,0,0,0,0
UBE2V2,0.0,0.0801596697188496,0.02397548472883,0.0,0,0,0,0,0,0,0,0,0,0,0
UBE2N,0.0499302969121226,0.0014905363147924,0.0420993444304201,0.0,0,0,0,0,0,0,0,0,0,0,0
BARD1,0.0247514079729409,0.0028363211253985,0.128750593543473,0.0,0,0,0,0,0,0,0,0,0,0,0
BRCA1,0.0247114492903689,0.00487316055862,0.0825290688094662,0.0,0,0,0,0,1,0,0,0,0,0,0
SUMO2,0.0,0.0189367029548981,0.0532428665553429,0.0,0,0,0,0,0,0,0,0,0,0,0
MDC1,0.0499952653585405,0.015297036887921,0.0905870469344956,0.0,0,0,0,0,0,0,0,0,0,0,0
HERC2,0.1988584295118784,0.0275961192975757,0.0474458133762203,0.0,0,0,0,0,0,0,0,0,0,0,0
ATRIP,0.0,0.0008216069588763,0.0736936159133167,0.0,0,0,0,0,0,0,0,0,0,0,0
ATR,0.1247606122076836,0.0043776404486222,0.0640092025838033,0.0,0,0,1,1,0,0,0,0,0,0,0
TIMELESS,0.0499306006566515,0.0091456246440092,0.0940826255794133,0.0,0,0,0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.1051682800900443,0.0792678704442424,0.0,0,0,0,0,0,0,0,0,0,0,0
PPP4R2,0.0,0.0368888854896339,0.0032482480523442,0.0,0,0,0,0,0,0,0,0,0,0,0
PPP4C,0.0,0.0090079872226092,0.008981987918879,0.0,0,0,0,0,0,0,0,0,0,0,0
RAD51C,0.0,0.0139100535140777,0.0755062879119895,0.0,0,0,0,0,0,0,0,0,0,0,0
XRCC3,0.0,0.0145843692794362,0.1779984065166345,0.4907749077490775,0,0,0,0,0,0,0,0,0,0,0
EME2,0.0,0.0123894500481903,0.1306674879257463,0.0,0,0,0,0,0,0,0,0,0,0,0
MUS81,0.0,0.0016776513290802,0.0766829782778848,0.0,0,0,0,0,0,0,0,0,0,0,0
EME1,0.0250433775327241,0.006771742914675,0.2355513846840991,0.0,0,0,0,0,0,0,0,0,0,0,0
BRCA2,0.0994712716152941,0.0031209537913578,0.1226589963861609,0.0,0,0,0,0,0,0,0,0,0,0,0
RAD51,0.0,0.0001931084517208,0.2138956245288675,0.0,0,0,0,0,0,0,0,0,0,0,0
ERCC4,0.0250243988484562,0.0163581681724097,0.0065031196003198,0.0,0,0,0,0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0089379924664088,0.0,0,0,0,0,0,0,0,0,0,0,0
XRCC1,0.0,0.0003859712519792,0.092660614789161,0.0,0,0,0,0,0,0,0,0,0,0,0
LIG3,0.0248570227791834,0.006810449639359,0.0822661031541993,0.0,0,0,0,0,0,0,0,0,0,0,0
XRCC6,0.0,0.0018642957291657,0.0477027299629699,0.0,0,0,0,0,0,0,0,0,0,0,0
XRCC5,0.0,0.0402217728847364,0.0206773892710383,0.0,0,0,0,0,0,0,0,0,0,0,0
XRCC4,0.0,3.078592959842112e-05,0.0675520460443924,0.0,0,0,0,0,0,0,0,0,0,0,0
LIG4,0.0,0.0091719136155734,0.0205447777051986,0.2472324723247232,0,0,0,0,0,0,0,0,0,0,0
HEXB,0.024983942222936,0.0109653922601955,0.0517303076499766,0.0,0,0,0,0,0,0,0,0,0,0,0
HEXA,0.0,0.0716052267022338,0.0547216710999499,0.0,0,0,0,0,0,0,0,0,0,0,0
EXT2,0.0248787749565376,0.0147881222096589,0.0157914504578979,0.0,0,0,0,0,0,0,0,0,0,0,0
EXT1,0.0,0.0205497680436784,0.012930436809639,0.8523985239852399,0,0,0,0,0,0,0,0,0,0,0
SOS1,0.099130035247633,0.0020937413299501,0.029724628926013,0.0,1,0,0,0,1,0,0,0,0,1,1
CDK1,0.0,0.0104057836888278,0.3510787440088597,0.0,0,0,1,1,0,0,0,0,0,0,0
CCNB1,0.0,0.0061614776898133,0.3162786901441982,0.0,0,0,1,1,0,0,0,0,0,0,0
PCF11,0.0249186264548527,0.0078163813702353,0.0335708098993809,0.0,0,0,0,0,0,0,0,0,0,0,0
CLP1,0.0,0.1125228459493866,0.0184356216640209,0.0,0,0,0,0,0,0,0,0,0,0,0
TEAD1,0.0,0.0043103294929168,0.0202639135883686,0.0,0,0,0,0,0,0,0,0,0,0,0
YAP1,0.0,0.0629712774698891,0.0172758840874109,0.0,0,0,0,0,0,0,0,0,0,0,0
TEAD2,0.0246915147582003,0.008259378989197,0.1276549223888775,0.0,0,0,0,0,0,0,0,0,0,0,0
TEAD3,0.024980399412678,0.0142817247547776,0.0773459820191578,0.0,0,0,0,0,0,0,0,0,0,0,0
TEAD4,0.0,0.116525842611426,0.0457584107878825,0.0,0,0,0,0,0,0,0,0,0,0,0
CDK8,0.0,0.0049916757214083,0.0138926555609848,0.0,0,0,0,0,0,0,0,0,0,0,0
CCNC,0.0245887670683084,0.027082180773316,0.0051770521373906,0.0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,0.0,0.0134125642330802,0.0360884374473473,0.3468634686346865,0,0,0,0,0,0,1,0,0,0,0
RNF111,0.0,0.0190054873116049,0.0243819487999546,0.0,0,0,0,0,0,0,0,0,0,0,0
PTEN,0.0994018058512873,0.0015847140380581,0.0032490078993596,0.3579335793357933,0,0,0,1,1,0,0,0,0,0,0
TP53,0.26560233596841,0.0038841314024821,0.0212503237142403,0.8339483394833949,1,0,1,1,1,1,0,0,0,1,1
TSC1,0.0239431111362234,0.0,0.1111038044895206,0.4391143911439115,0,0,0,0,1,0,0,0,0,0,0
TSC2,0.0744164789144157,0.0008769340659814,0.0682408869233931,0.0,0,0,0,1,1,0,0,0,0,0,0
SCO2,0.0250382035945668,0.0035482352170848,0.0071775067407138,0.3062730627306274,0,0,0,0,0,0,0,0,0,0,0
RRM2B,0.0,0.0002093906650377,0.0204562175256689,0.0,0,0,0,1,0,0,0,0,0,0,0
GLS2,0.0,0.0275243929562384,0.3554275078015749,0.0,0,0,0,0,0,0,0,0,0,0,0
IGFBP3,0.0248036423732579,0.0619093622533816,0.2463435989079605,0.0,0,0,0,1,0,0,0,0,0,0,0
PMAIP1,0.0,0.1787982318392937,0.0522422992175548,0.3468634686346865,0,0,0,1,0,0,0,0,0,0,0
BID,0.0,0.0064127195330426,0.0280275501162691,0.0,0,0,0,1,0,0,0,1,0,1,1
TP53AIP1,0.0,0.4255957581187807,0.0456361928243457,0.3431734317343173,0,0,0,1,0,0,0,0,0,0,0
ZNF420,0.0250054916492625,0.0071579504948342,0.0252195565996539,0.0,0,0,0,0,0,0,0,0,0,0,0
STEAP3,0.0250181521955241,0.0493855867742233,0.1901562719602192,0.0,0,0,0,1,0,0,0,0,0,0,0
BNIP3L,0.0,0.0680185226629607,0.0521614179393598,0.0,0,0,0,0,0,0,0,0,0,0,0
TRIAP1,0.0250592344988112,0.0004291258874746,0.0081925286763325,0.0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0.0,0.0645199099674072,0.0801227124467125,0.0,0,0,0,1,0,0,0,0,0,0,0
TP53INP1,0.0,0.0012920016425827,0.011222798924387,0.0,0,0,0,0,0,0,0,0,0,0,0
APAF1,0.0,0.0075708645790732,0.0534450230060382,0.0,0,0,0,1,0,0,0,0,0,1,1
PIDD1,0.0,0.1044485041195489,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
CRADD,0.0,0.0019722510658559,0.0394295016832161,0.0,0,0,0,0,0,0,0,0,0,0,0
NLRC4,0.0248774938608247,0.116871000945801,0.089808405150862,0.0,0,0,0,0,0,0,0,0,0,0,0
CASP6,0.0250560016950305,0.0180727577903103,0.0147488069160341,0.6383763837638378,0,0,0,0,0,0,0,0,0,0,0
CASP10,0.0,0.1009038041543868,0.015581954254789,0.0,0,0,0,0,0,0,0,0,0,0,1
NDRG1,0.0249134889189792,0.0506283737825758,0.0582500194733222,0.8523985239852399,0,0,0,0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.0140997435376537,0.0,0,0,0,0,0,0,0,0,0,0,0
BIRC5,0.0,0.0165399695122961,0.3894354660021436,0.0,0,0,0,0,0,0,0,0,0,0,1
BCL6,0.0496603583224674,0.0023605619538823,0.0183640245975795,0.0,0,0,0,0,0,0,0,0,0,0,0
ZNF385A,0.0,0.1156368272765368,0.0262418181276873,0.0,0,0,0,1,0,0,0,0,0,0,0
ARID3A,0.0250157299542454,0.0019937399016729,0.144055058546785,0.3210332103321033,0,0,0,0,0,0,0,0,0,0,0
E2F7,0.0498755791676674,0.0041046331191457,0.2097760495186649,0.0,0,0,0,0,0,0,0,0,0,0,0
E2F8,0.0250341534658016,0.0046111245364322,0.3531926373340626,0.0,0,0,0,0,0,0,0,0,0,0,0
GADD45A,0.0,0.0057133641923346,0.0951071683299665,0.0,1,0,1,1,0,0,0,0,0,0,0
AURKA,0.0249557148565024,0.0008835595869811,0.2764327279797064,0.0,0,0,0,0,0,0,0,0,0,0,0
PCNA,0.0,0.0007501152995923,0.110416822215695,0.0,0,0,1,0,0,0,0,0,0,0,1
BAX,0.0250285519955892,0.0034014636532574,0.1009598692437905,0.0,0,0,0,1,0,0,0,1,0,1,1
SFN,0.0,0.510015818722271,0.4081014536139565,0.5239852398523986,0,0,1,1,0,0,0,0,0,0,0
PLK2,0.0,0.0184524010788965,0.0285065326785384,0.0,0,0,0,0,0,0,0,0,0,0,0
PLK3,0.0,0.014169303913764,0.1052560491521098,0.0,0,0,0,0,0,0,0,0,0,0,0
RGCC,0.0,0.2071347575753913,0.0669752260624797,0.0,0,0,0,0,0,0,0,0,0,0,0
PLAGL1,0.0,0.0070724928662283,0.0337811105287191,0.0,0,0,0,0,0,0,0,0,0,0,0
ATF2,0.0,0.0055110586004015,0.0312524410292018,0.0,1,0,0,0,1,0,0,0,0,0,1
JUN,0.07495920800555,0.0075856099414044,0.1403652099431884,0.0,1,0,0,0,0,1,0,1,0,0,1
FOS,0.0,0.0019283259580349,0.3370001307750323,0.0,1,0,0,0,0,0,0,1,0,0,1
PMS2,0.0,0.007818854694366,0.0738822745238387,0.0,0,0,0,0,0,0,0,0,0,0,0
MLH1,0.0,0.0034775704668992,0.0403362996998501,0.0,0,0,0,0,0,0,0,0,0,0,0
FANCC,0.0,0.0400052252931549,0.0862237644446216,0.4391143911439115,0,0,0,0,0,0,0,0,0,0,0
DDB2,0.0500171786792152,0.0166979548231516,0.0280074870270786,0.0,0,0,0,1,0,0,0,0,0,0,1
PRDM1,0.0249144528830368,0.0806125188863646,0.011149506886012,0.0,0,0,0,0,0,0,0,0,0,0,0
MDM2,0.0,0.0077343617705498,0.0087455802034338,0.0,0,0,1,1,1,0,0,0,0,0,0
MDM4,0.0,0.0047250684439168,0.0804064934064597,0.0,0,0,0,1,0,0,0,0,0,0,0
CCNG1,0.0,0.002669312020087,0.025565882515585,0.0,0,0,0,1,0,0,0,0,0,0,0
HIPK2,0.0744517943346712,8.791061513478667e-05,0.0278561282069966,0.1254612546125461,0,0,0,0,0,0,0,0,0,0,0
PIN1,0.0250550755551014,0.0326148445733302,0.0391004915619576,0.0,0,0,0,0,0,0,0,0,0,0,0
HIPK1,0.0,0.0051562580125694,0.0078594811853994,0.0,0,0,0,0,0,0,0,0,0,0,0
SSRP1,0.0,0.0444321759606869,0.0561777731055353,0.0,0,0,0,0,0,0,0,0,0,0,0
SUPT16H,0.0250173873450608,0.035736899687337,0.0550794203810717,0.0,0,0,0,0,0,0,0,0,0,0,0
CSNK2A1,0.048697500128052,0.0,0.0429450227885925,0.0,0,0,0,0,0,1,0,0,0,0,0
CSNK2A2,0.0,0.0103244316246831,0.0228418135217621,0.0,0,0,0,0,0,1,0,0,0,0,0
