gene,MF: LUAD,METH: LUAD,GE: LUAD,CNA: LUAD,hsa04010,hsa04012,hsa04014,hsa04020,hsa04110,hsa04115,hsa04151
STIM1,0.060833225448409,0.0014125447397509,0.029813631503664,0.0,0,0,0,0,0,0,0
TRPC1,0.0602019945775469,0.0241471787452544,0.0605295711772818,0.0,0,0,0,0,0,0,0
NOS1,0.0389743608490394,0.3150285425414679,0.5426960061155328,0.3527851458885941,0,0,0,0,0,0,0
ATP2B4,0.0400628440063371,0.0213059385565415,0.094597629876015,0.0,0,0,0,0,0,0,0
ABCC9,0.0589088946137758,0.0,0.1855182669980787,0.0,0,0,0,0,0,0,0
KCNJ11,0.0,0.0951540390705894,0.0082325863353229,0.0,0,0,0,0,0,0,0
HADHA,0.0205642792549166,0.0002885369720154,0.0319331250697149,0.0,0,0,0,0,0,0,0
HADHB,0.0408205944820787,0.0136110499636007,0.0171546865476001,0.0,0,0,0,0,0,0,0
GTF2E2,0.0,0.0062657738545612,0.0486411636465548,0.0,0,0,0,0,0,0,0
GTF2E1,0.0202692541447013,0.0094281243550279,0.0091918157355237,0.0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0154840230470707,0.0135824249807487,0.0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0071004836249367,0.0075583897131585,0.3978779840848808,0,0,0,0,0,0,0
VANGL2,0.060974132292481,0.2630120924805594,0.0009450385132244,0.0,0,0,0,0,0,0,0
SCRIB,0.02005388665783,0.0014091238641117,0.089749116371423,0.0,0,0,0,0,0,0,0
DVL2,0.0205480396686102,0.0112412804308925,0.0076104356432155,0.0,0,0,0,0,0,0,0
PARD6A,0.0205268906461647,0.1836652043182223,0.0194006683716011,0.0,0,0,0,0,0,0,0
GRB2,0.0204349560983999,0.0052826242805399,0.0296779154951904,0.0,1,1,0,0,0,0,1
GAB1,0.0,0.0098543367091777,0.1866792545103855,0.0,0,1,0,0,0,0,0
EGFR,0.2421902901436194,0.0587212481451845,0.0196187481809903,0.7267904509283821,1,1,0,0,0,0,1
EGF,0.1001927311466344,0.102307457277972,0.1790763220595033,0.4190981432360743,1,1,0,0,0,0,1
PIK3CA,0.0818057767205028,0.0130045188409651,0.0474884614575165,0.0,0,1,0,0,0,0,1
PIK3R1,0.0,0.0036899678666294,0.1314268922212404,0.0,0,1,0,0,0,0,1
SRC,0.0,0.0318819804816431,0.0396509446376162,0.0,0,0,0,0,0,0,0
PXN,0.0195491174347115,0.0315301005996903,0.0695043768318776,0.3527851458885941,0,0,0,0,0,0,0
CLPS,0.0,0.0486044231280077,0.0,0.0,0,0,0,0,0,0,0
PNLIP,0.0410523630577451,0.4249008686537306,0.0,0.0,0,0,0,0,0,0,0
GNB1,0.0201206843585525,0.0090587927819114,0.0182398486420682,0.3236074270557029,0,0,0,0,0,0,1
GNGT1,0.0,0.0,0.2809604596079008,0.0,0,0,0,0,0,0,1
CNGA1,0.0205370072364162,0.0047557863733693,0.0736652656305476,0.0,0,0,0,0,0,0,0
CNGB1,0.0398480721167201,0.089831899978433,0.0998267798133372,0.0,0,0,0,0,0,0,0
FNTB,0.0,0.0186308872777989,0.0176762888669224,0.0,0,0,0,0,0,0,0
FNTA,0.0205199134707385,0.0032287602291308,0.0021433858447384,0.7877984084880638,0,0,0,0,0,0,0
RAD50,0.0201554467980804,0.0326217050700862,0.0006091722202698,0.5596816976127321,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KPNA2,0.0,0.0041306726003094,0.2080722230022793,0.0,0,0,0,0,0,0,0
NBN,0.0,0.0068765069298485,0.0151698412512542,0.0,0,0,0,0,0,0,0
KAT5,0.020244642785978,0.0048188657965826,0.0479584104214111,0.0,0,0,0,0,0,0,0
ATM,0.1585735699799889,0.0136732167595511,0.0108362255943931,0.3183023872679045,0,0,0,0,1,1,0
