gene,MF: LUSC,METH: LUSC,GE: LUSC,CNA: LUSC,hsa04010,hsa04012,hsa04014,hsa04020,hsa04110,hsa04115,hsa04151
STIM1,0.0,0.0091945677437434,0.0303714683458819,0.0,0,0,0,1,0,0,0
TRPC1,0.05427837611943,0.047860977633676,0.0662409125171861,0.0,0,0,0,0,0,0,0
NOS1,0.1030721989392823,0.1092277087627596,0.2256543143740571,0.1902654867256637,0,0,0,1,0,0,0
ATP2B4,0.0541433464067874,0.0050238634824055,0.0907022371275918,0.0,0,0,0,1,0,0,0
ABCC9,0.0,0.0,0.2259538193307166,0.0,0,0,0,0,0,0,0
KCNJ11,0.0,0.0603262231351213,0.075606676806019,0.0,0,0,0,0,0,0,0
HADHA,0.0,0.0176435699685717,0.0229312291941197,0.0,0,0,0,0,0,0,0
HADHB,0.0545680039255317,0.0067071531963522,0.0119658175308476,0.0,0,0,0,0,0,0,0
GTF2E2,0.0,0.006966632257995,0.057434002841945,0.0,0,0,0,0,0,0,0
GTF2E1,0.0,0.0097233803107314,0.0588463552220647,0.0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0025617105128316,0.0438607797979963,0.0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0785685390142695,0.0206615613736941,0.0,0,0,0,0,0,0,0
VANGL2,0.0,0.0160173553163014,0.1863027061769106,0.0,0,0,0,0,0,0,0
SCRIB,0.0540282602591878,0.0195552460961157,0.1051013635055917,0.0,0,0,0,0,0,0,0
DVL2,0.0,0.0033549666113729,0.0409452496629734,0.0,0,0,0,0,0,0,0
PARD6A,0.0,0.1325561607266193,0.0786499984574409,0.0,0,0,0,0,0,0,0
GRB2,0.0,0.0149539449352993,0.0293488570900446,0.5221238938053098,1,1,1,0,0,0,1
GAB1,0.0,0.0154013645964775,0.1280424411458958,0.0,0,1,1,0,0,0,0
EGFR,0.0,0.1116515350324528,0.0583522222815307,0.5663716814159292,1,1,1,1,0,0,1
