gene,MF: PRAD,METH: PRAD,GE: PRAD,CNA: PRAD,hsa00140,hsa04010,hsa04060,hsa04110,hsa04115,hsa04151,hsa04210,hsa05202
STIM1,0.0,0.010006326441914,0.0249273773919251,0.0,0,0,0,0,0,0,0,0
TRPC1,0.0227578029334689,0.0980698211911872,0.16077052947956,0.0,0,0,0,0,0,0,0,0
NOS1,0.0226899092165057,0.0354506759431,0.3276155533390896,0.1224489795918367,0,0,0,0,0,0,0,0
ATP2B4,0.0454199664402042,0.1603110878667747,0.1989616830934432,0.0,0,0,0,0,0,0,0,0
ABCC9,0.0454139365510581,0.0,0.1487157297227804,0.0,0,0,0,0,0,0,0,0
KCNJ11,0.0227662167022939,0.0484615943464704,0.087213286539829,0.0,0,0,0,0,0,0,0,0
HADHA,0.0,0.0170334423641843,0.0160511888177514,0.0,0,0,0,0,0,0,0,0
HADHB,0.0223203882842358,0.0044122601519655,0.0071644917432068,0.0,0,0,0,0,0,0,0,0
GTF2E2,0.0227751148883221,0.0067798361485087,0.0189693289353821,0.0,0,0,0,0,0,0,0,0
GTF2E1,0.0,0.0073858090554537,0.017599350514772,0.0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0029416706237604,0.0158910355701286,0.0,0,0,0,0,0,0,0,0
GTF2A1,0.0,0.0716932932857432,0.0213063657173821,0.0,0,0,0,0,0,0,0,0
VANGL2,0.0227638946166754,0.2043377109156474,0.1013008628124146,0.0,0,0,0,0,0,0,0,0
SCRIB,0.0227260814340427,0.00896259779955,0.1014015054322779,0.0,0,0,0,0,0,0,0,0
DVL2,0.0227179479180795,0.0453236676495742,0.0373303809570061,0.0,0,0,0,0,0,0,0,0
PARD6A,0.0,0.0009628978283083,0.055292740252793,0.0,0,0,0,0,0,0,0,0
GRB2,0.0,0.0007956146260807,0.0117793709065706,0.0,0,1,0,0,0,1,0,0
GAB1,0.0,0.0119376441025778,0.123093372969389,0.0,0,0,0,0,0,0,0,0
EGFR,0.0453981342016677,0.1645654868318511,0.1043191240838043,0.0,0,1,0,0,0,1,0,0
EGF,0.0454647979533281,0.0618699420167594,0.0435598074745762,0.0,0,1,0,0,0,1,0,0
PIK3CA,0.1817354555659844,0.0137901113182999,0.0558203581719239,0.0,0,0,0,0,0,1,1,0
PIK3R1,0.0216970530610644,0.0062334992035223,0.1710863255613385,0.3367346938775511,0,0,0,0,0,1,1,0
