gene,MF: STAD,METH: STAD,GE: STAD,CNA: STAD,hsa04010,hsa04110,hsa04115,hsa04151,hsa04310,hsa04350,hsa04520,hsa05120
STIM1,0.0129926725572005,0.0798594302738236,0.058402580412261,0.0,0,0,0,0,0,0,0,0
TRPC1,0.0,0.1445666327327151,0.0251389588911096,0.0,0,0,0,0,0,0,0,0
NOS1,0.0487207377086666,0.1974001848869746,0.3861429073714246,0.0,0,0,0,0,0,0,0,0
ATP2B4,0.0252062495992273,0.0474778557507247,0.0005874370963893,0.0,0,0,0,0,0,0,0,0
ABCC9,0.1879050357889483,0.0,0.0362293746485954,0.0,0,0,0,0,0,0,0,0
KCNJ11,0.0,0.0320415090244532,0.0251918947456147,0.0,0,0,0,0,0,0,0,0
HADHA,0.0,0.0054278979638141,0.0396606252041216,0.0,0,0,0,0,0,0,0,0
HADHB,0.0,0.0075791818412699,0.0598838137017073,0.0,0,0,0,0,0,0,0,0
GTF2E2,0.0,0.005867959817393,0.00024295596296,0.0,0,0,0,0,0,0,0,0
GTF2E1,0.0258017828755504,0.0064613785090161,0.0429069585367307,0.0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.001664175328558,0.0039907132127944,0.0,0,0,0,0,0,0,0,0
GTF2A1,0.012332876987962,0.0066704198471222,0.0168759965132847,0.0,0,0,0,0,0,0,0,0
VANGL2,0.0260287896049665,0.1247824593020783,0.0521441967787105,0.0,0,0,0,0,1,0,0,0
SCRIB,0.050927986299805,0.029635896778591,0.071456428507852,0.0,0,0,0,0,0,0,0,0
DVL2,0.0125048960166995,0.0221024886482757,0.0038925663616754,0.0,0,0,0,0,1,0,0,0
PARD6A,0.0,0.1120372968347983,0.0251460914871619,0.0,0,0,0,0,0,0,0,0
GRB2,0.0255902557128013,0.0029510565956735,0.0039727143319938,0.0,1,0,0,1,0,0,0,0
GAB1,0.0,0.0781404434566291,0.0522688787036718,0.0,0,0,0,0,0,0,0,0
EGFR,0.0337128320272411,0.0942510859917424,0.0077536906309198,0.6925566343042072,1,0,0,1,0,0,1,1
EGF,0.0501606612258252,0.0293952630522502,0.0447464972984664,0.0,1,0,0,1,0,0,0,0
PIK3CA,0.4629429114288853,0.0444319725737914,0.0345617673315074,0.0,0,0,0,1,0,0,0,0
PIK3R1,0.0387432136677785,0.0011436622076638,0.0110291577673781,0.0,0,0,0,1,0,0,0,0
SRC,0.0258727910349559,0.0095281586988154,0.0654063816564748,0.0,0,0,0,0,0,0,1,1
PXN,0.0247433019818142,0.0170853483565016,6.632645073849293e-05,0.0,0,0,0,0,0,0,0,0
