Gene,MF: THCA,METH: THCA,GE: THCA,CNA: THCA,hsa03320,hsa04010,hsa04115,hsa04310,hsa04520
STIM1,0.0036005727431048,0.0697477589442568,0.0032328083798496,0,0,0,0,0,0
TRPC1,0,0.0032088903997376,0.0725598478887506,0,0,0,0,0,0
NOS1,0,0.0105908200030842,0.485484699173166,0,0,0,0,0,0
ATP2B4,0.0071934841351164,0.005135906212637,0.0154961692348296,0.3222222222222223,0,0,0,0,0
ABCC9,0.0107874032283413,0,0.113507871890648,0,0,0,0,0,0
KCNJ11,0,0.0216082335956802,0.051578446171216,0,0,0,0,0,0
HADHA,0,0.0025347851782515,0.018036403058912,0,0,0,0,0,0
HADHB,0,0.0064558110962841,0.0023230735609806,0,0,0,0,0,0
GTF2E2,0,0.0075749263098152,0.036776116386208,0,0,0,0,0,0
GTF2E1,0,0.004894698235948,0.0749840689904439,0,0,0,0,0,0
GTF2A2,0,0.0138711710651224,0.0213979840034589,0,0,0,0,0,0
GTF2A1,0,0.0132736230797638,0.0251746994690773,0,0,0,0,0,0
VANGL2,0,0.0190030451446145,0.0074919751095548,0.3222222222222223,0,0,0,1,0
SCRIB,0,0.0119664126037458,0.0772928662161562,0,0,0,0,0,0
DVL2,0.0036031163319585,0.0052743038986578,0.0076258241630207,0.0888888888888888,0,0,0,1,0
PARD6A,0,0.0246440964865404,0.0655132445240666,0,0,0,0,0,0
GRB2,0.006997339687136,0.0047342090366857,0.0020859715248543,0.0888888888888888,0,1,0,0,0
GAB1,0.0069294923418216,0.0029441922224262,0.0438229655485009,0,0,0,0,0,0
EGFR,0,0.0227635264760178,0.0198299222132954,0.0111111111111111,0,1,0,0,1
EGF,0,0.0342413090690446,0.1503525277880827,0,0,1,0,0,0
PIK3CA,0.0144004069872464,0.0044620454813496,0.0109777461577395,0,0,0,0,0,0
PIK3R1,0.0036011249110353,0.0063613490948589,0.0104075478773365,0,0,0,0,0,0
SRC,0.0035985968997048,0.0118105373228598,0.063655863376631,0,0,0,0,0,1
PXN,0.0071235542433243,0.0561696400267714,0.0335824527894111,0,0,0,0,0,0
CLPS,0,0.0429701096061311,0,0,0,0,0,0,0
PNLIP,0,0.1185359885186216,0,0,0,0,0,0,0
GNB1,0,0.0005987631165441,0.0122929759449324,0,0,0,0,0,0
GNGT1,0,0,0,0.0111111111111111,0,0,0,0,0
CNGA1,0,0.0170848632736061,0.0019314996205141,0,0,0,0,0,0
CNGB1,0.0036019378926489,0.0583044638072401,0.0209828804307435,0,0,0,0,0,0
FNTB,0.0071718394188517,0.0058526519008818,0.0051187481432605,0,0,0,0,0,0
FNTA,0,0.0049987487359604,0.0256878845348708,0,0,0,0,0,0
RAD50,0.0035788917501947,0.0063438248239908,0.0251933075726555,0.2333333333333333,0,0,0,0,0
MRE11,0,0,0,0,0,0,0,0,0
KPNA2,0.0036025254728828,0.0061071487356858,0.07032269325677,0.0888888888888888,0,0,0,0,0
NBN,0,0.0011520929496082,0.0374984411206375,0.0777777777777777,0,0,0,0,0
KAT5,0,0.0031046719296017,0.0225564006399285,0,0,0,0,0,0
ATM,0.0215348721933709,0.0093043730023599,0.0736108694172102,0,0,0,1,0,0
BAZ1B,0.0034595805456844,0.0143840500370333,0.005904631122276,0.0111111111111111,0,0,0,0,0
SMARCA5,0.0107963920182982,0.0036560484200922,0.0081415061006188,0,0,0,0,0,0
UBE2I,0,0.0016068121443605,0.0605297570205444,0,0,0,0,0,0
SUMO1,0,0.0076930033440059,0.0090398786781197,0,0,0,0,0,0
UBE2V2,0,0.0057535976131596,0.0293889872120822,0,0,0,0,0,0
UBE2N,0,0.0098545236308387,0.0248258423450586,0,0,0,0,0,0
