gene,MF: UCEC,METH: UCEC,GE: UCEC,CNA: UCEC,hsa04010,hsa04012,hsa04060,hsa04110,hsa04115,hsa04151,hsa04310,hsa04520
STIM1,0.0074589351228321,0.0608343584993741,0.1128404467915396,0.0,0,0,0,0,0,0,0,0
TRPC1,0.0075451802446835,0.0262689508156736,0.3280994068413913,0.0,0,0,0,0,0,0,0,0
NOS1,0.0286771073922674,0.1448390808451921,0.2640746718279433,0.0,0,0,0,0,0,0,0,0
ATP2B4,0.0148626915806712,0.031909107907487,0.1552012799911792,0.0,0,0,0,0,0,0,0,0
ABCC9,0.0293353275771631,0.0,0.4751147572522009,0.0,0,0,0,0,0,0,0,0
KCNJ11,0.00775940748568,0.1120896734156165,0.075345444867081,0.0,0,0,0,0,0,0,0,0
HADHA,0.0037718065830986,0.0068877266593822,0.0365660674631143,0.1015625,0,0,0,0,0,0,0,0
HADHB,0.0075729426837575,0.0064451964447722,0.0193430787692395,0.1015625,0,0,0,0,0,0,0,0
GTF2E2,0.0115900138793618,0.0106369879904627,0.0342698609041913,0.0,0,0,0,0,0,0,0,0
GTF2E1,0.0038811850095738,0.01237513471433,0.0397883561535533,0.0,0,0,0,0,0,0,0,0
GTF2A2,0.0,0.0097184867766405,0.002992014444552,0.0,0,0,0,0,0,0,0,0
GTF2A1,0.0038512200484,0.0177486891890096,0.0200088816694326,0.0,0,0,0,0,0,0,0,0
VANGL2,0.0152483210311439,0.0134087455789005,0.0868275307203427,0.0,0,0,0,0,0,0,1,0
SCRIB,0.015009971034375,0.0038252998849874,0.1012862152829511,0.0,0,0,0,0,0,0,0,0
DVL2,0.0269192873737308,0.0155785395743104,0.0489429970717183,0.0,0,0,0,0,0,0,1,0
PARD6A,0.0,0.0060915383737864,0.0080974393009569,0.6015625,0,0,0,0,0,0,0,0
GRB2,0.0,0.0035343588193997,0.0120440848739985,0.0,1,1,0,0,0,1,0,0
GAB1,0.011182336941869,0.0025543318153262,0.1779261654284838,0.0,0,1,0,0,0,0,0,0
EGFR,0.0401623368324704,0.0188286651316302,0.1024045243642832,0.0,1,1,0,0,0,1,0,1
EGF,0.0149727033722563,0.130780847119506,0.0083766900727065,0.0,1,1,0,0,0,1,0,0
PIK3CA,0.5226011576513472,0.0034082130096842,0.0313129810579667,0.0,0,1,0,0,0,1,0,0
PIK3R1,0.3664832971877427,0.007047521631461,0.1696169929313001,0.0,0,1,0,0,0,1,0,0
SRC,0.0075417715043439,0.0233234376762631,0.0032121870769469,0.0,0,0,0,0,0,0,0,1
PXN,0.0145520506034588,0.0854471383598752,0.0650083284373193,0.0,0,0,0,0,0,0,0,0
CLPS,0.0,0.028723692881931,0.1566975760648757,0.0,0,0,0,0,0,0,0,0
PNLIP,0.0038698619485424,0.3191205476787414,0.0,0.0,0,0,0,0,0,0,0,0
GNB1,0.0074940612302905,0.0013022190057808,0.0050302627570268,0.0,0,0,0,0,0,1,0,0
GNGT1,0.0,0.0,0.239709930621513,0.0,0,0,0,0,0,1,0,0
CNGA1,0.0149504774085976,0.0040746888973796,0.0425266229539426,0.0,0,0,0,0,0,0,0,0
CNGB1,0.0262950704994611,0.026161755941848,0.0680052734070469,0.6015625,0,0,0,0,0,0,0,0
FNTB,0.0076753688470088,0.0079007660597684,0.0065486679834709,0.0,0,0,0,0,0,0,0,0
FNTA,0.0076330933495527,0.0064015892138976,0.0071968293440517,0.0,0,0,0,0,0,0,0,0
RAD50,0.0189082434007094,0.005651240587228,0.0055742214603433,0.0,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
KPNA2,0.0038618599256812,0.0059420919853548,0.2695649805925351,0.0,0,0,0,0,0,0,0,0
NBN,0.0189002786969831,0.0016445238189736,0.0057253774783828,0.0,0,0,0,0,0,0,0,0
KAT5,0.0151546766930171,0.0034304131574122,0.0690720719436638,0.0,0,0,0,0,0,0,0,0
ATM,0.0725636521399945,0.0072136600655787,0.0413864431391457,0.0,0,0,0,1,1,0,0,0
BAZ1B,0.0153062420713836,0.0125083592484169,0.0113941500073278,0.0,0,0,0,0,0,0,0,0
SMARCA5,0.0192037381161041,0.0066342199051666,0.0230758182586409,0.0,0,0,0,0,0,0,0,0
UBE2I,0.0036373139306844,0.0008672349970357,0.0132360203861551,0.0,0,0,0,0,0,0,0,0
SUMO1,0.0,0.0082724653543413,0.0313792426190641,0.0,0,0,0,0,0,0,0,0
UBE2V2,0.003745469329303,0.0823323478056892,0.0282677544976424,0.0,0,0,0,0,0,0,0,0
UBE2N,0.0076671710100853,0.0132297026224998,0.0354117884904917,0.0,0,0,0,0,0,0,0,0
BARD1,0.0147237534554709,0.0064321267016796,0.0470358482581453,0.0,0,0,0,0,0,0,0,0
BRCA1,0.0275359221629306,0.0050666152640595,0.1420008169548269,0.4453125000000001,0,0,0,0,0,1,0,0
SUMO2,0.0076308363043157,0.001611274579988,0.0040727755918771,0.0,0,0,0,0,0,0,0,0
MDC1,0.0114696961302044,0.0178905570534861,0.0148873913836902,0.0,0,0,0,0,0,0,0,0
HERC2,0.0559692693093523,0.1074153262526708,0.0316340808776793,0.546875,0,0,0,0,0,0,0,0
ATRIP,0.0187052576948887,0.0036093959711512,0.0073413884529699,0.0,0,0,0,0,0,0,0,0
ATR,0.0456507267819245,0.0092504722359459,0.0616089757205714,0.0,0,0,0,1,1,0,0,0
TIMELESS,0.0113591021997331,0.0055781965787579,0.2196976059454279,0.0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.0622658334503436,0.0296916075812009,0.0,0,0,0,0,0,0,0,0
PPP4R2,0.0191154501096906,0.049170235894643,0.0261176389340645,0.0,0,0,0,0,0,0,0,0
PPP4C,0.0076895216274739,0.007813880931639,0.0830709209093125,0.0,0,0,0,0,0,0,0,0
RAD51C,0.0153912930495498,0.0119203079390948,0.015960863883653,0.0,0,0,0,0,0,0,0,0
XRCC3,0.0037634163847576,0.0374716472827338,0.1293445326329415,0.0,0,0,0,0,0,0,0,0
EME2,0.0038788832133401,0.0003175529111181,0.0373305919298805,0.0,0,0,0,0,0,0,0,0
MUS81,0.0,0.0013855275306541,0.0224568024793039,0.0,0,0,0,0,0,0,0,0
EME1,0.0075750014576646,0.0107393794019874,0.2877427988715084,0.0,0,0,0,0,0,0,0,0
BRCA2,0.0666002138594928,0.007028210444585,0.2344372127116351,0.0,0,0,0,0,0,0,0,0
RAD51,0.0037349714859759,0.002548578222489,0.2913275124989867,0.546875,0,0,0,0,0,0,0,0
ERCC4,0.0190804241229385,0.0268936775563058,0.0494847720976499,0.0,0,0,0,0,0,0,0,0
ERCC1,0.0150989711149406,0.0,0.022387431861658,0.0,0,0,0,0,0,0,0,0
XRCC1,0.0114449583208479,0.0046173368770428,0.0052177867844553,0.0,0,0,0,0,0,0,0,0
LIG3,0.026298888996635,8.871951229353741e-05,0.0016015919449473,0.0,0,0,0,0,0,0,0,0
XRCC6,0.0075400321440509,0.0118872535783793,2.724677711623725e-05,0.0,0,0,0,0,0,0,0,0
