gene1,gene2
ARF5,RAB11FIP3
ARF5,ARF4
ARF5,ASAP1
ARF5,ARFIP1
M6PR,GGA3
M6PR,GGA2
M6PR,GGA1
M6PR,IGF2R
M6PR,PLIN3
FKBP4,STIP1
FKBP4,NR3C2
FKBP4,FKBP5
FKBP4,HSPA8
FKBP4,GLMN
FKBP4,MTOR
FKBP4,AKT1
FKBP4,PTGES3
FKBP4,DNAJB1
FKBP4,PPID
FKBP4,HSP90AB1
FKBP4,HSPA4
FKBP4,CDC37
FKBP4,NR3C1
FKBP4,HSP90AA1
FKBP4,PGR
FKBP4,AHSA1
FKBP4,PHLPP1
FKBP4,ESR1
FKBP4,AR
CYP26B1,CYP2C9
CYP26B1,CYP4A22
CYP26B1,CYP3A7
CYP26B1,CYP3A5
CYP26B1,CYP2C8
CYP26B1,CYP2S1
CYP26B1,ALDH1A1
CYP26B1,CYP26A1
CYP26B1,CYP26C1
CYP26B1,CYP3A7-CYP3A51P
CYP26B1,CYP1A2
CYP26B1,CYP3A4
CYP26B1,CYP1A1
CYP26B1,AOX1
CYP26B1,CYP2C18
CYP26B1,CYP2A6
CYP26B1,CYP2B6
CYP26B1,CYP4A11
CYP26B1,STRA8
CYP26B1,ALDH1A3
CYP26B1,ALDH1A2
CYP26B1,NANOS2
NDUFAF7,NDUFS2
NDUFAF7,NDUFAF5
FUCA2,FUCA1
HS3ST1,HS2ST1
SEMA3F,PLXNA1
SEMA3F,NRP1
SEMA3F,NRP2
SEMA3F,PLXNA3
CFTR,PRKACG
CFTR,RNF5
CFTR,CANX
CFTR,PRSS1
CFTR,GOPC
CFTR,SCNN1B
CFTR,NHERF4
CFTR,SLC26A9
CFTR,YWHAB
CFTR,PRKAG3
CFTR,DERL1
CFTR,TJP1
CFTR,PRKACA
CFTR,SLC26A3
CFTR,PRKAG1
CFTR,SCNN1G
CFTR,PRKAB2
CFTR,HSPA8
CFTR,NHERF2
CFTR,AHSA1
CFTR,PRKAB1
CFTR,HSP90AA1
CFTR,KCNJ1
CFTR,FLNA
CFTR,PRKAG2
CFTR,YWHAG
CFTR,ANO1
CFTR,PRKAA1
CFTR,PRKACB
CFTR,HSPA4
CFTR,VCP
CFTR,HSP90AB1
CFTR,PRKAA2
CFTR,SPINK1
CFTR,SLC26A6
CFTR,PDZK1
CFTR,USP10
CFTR,EZR
CFTR,YWHAZ
CFTR,NHERF1
CFTR,STUB1
CYP51A1,NSDHL
CYP51A1,DHCR24
CYP51A1,SIGMAR1
CYP51A1,HMGCS1
CYP51A1,POR
CYP51A1,FDPS
CYP51A1,ERG28
CYP51A1,SC5D
CYP51A1,FDFT1
CYP51A1,HSD17B7
CYP51A1,PGRMC1
CYP51A1,MVD
CYP51A1,SREBF2
